timer,hart,hart_rolling_mean
311.143676245,513.543007846,514.343389675
311.998466564,513.410460161,514.334362557
312.853256884,513.273581177,514.323991168
313.708047203,513.134335293,514.312184783
314.562837523,512.994768878,514.298868322
315.417627842,512.856997232,514.283984766
316.272418161,512.723204565,514.267497949
317.127208481,512.595648756,514.249395607
317.9819988,512.476675004,514.229692597
318.836789119,512.368737876,514.208434219
319.691579439,512.274420529,514.185699512
320.546369758,512.196442554,514.161604335
321.401160077,512.13765254,514.136304142
322.255950397,512.100994952,514.109996336
323.110740716,512.089432194,514.082921772
323.965531035,512.105813275,514.055364678
324.820321355,512.152708488,514.027650417
325.675111674,512.232243324,514.000140952
326.529901993,512.34595617,513.973228191
327.384692313,512.494693513,513.947325672
328.239482632,512.678544815,513.922859073
329.094272952,512.896808054,513.900255909
329.949063271,513.147984345,513.879934894
330.80385359,513.429812607,513.862295611
331.65864391,513.739347719,513.847709288
332.513434229,514.073070174,513.836511227
333.368224548,514.42700571,513.828995065
334.223014868,514.796833005,513.825408747
335.077805187,515.17797107,513.825951924
335.932595506,515.56565184,513.830774473
336.787385826,515.954985552,513.839975866
337.642176145,516.341029501,513.853605173
338.496966464,516.718873008,513.871661614
339.351756784,517.083739541,513.894095681
340.206547103,517.431095672,513.920810807
341.061337422,517.756757489,513.951665588
341.916127742,518.056989694,513.986476589
342.770918061,518.328593623,514.025021702
343.625708381,518.568975905,514.067044015
344.4804987,518.776191617,514.112256122
345.335289019,518.948968875,514.160344931
346.190079339,519.086721075,514.210976918
347.044869658,519.189538869,514.263803585
347.899659977,519.258155549,514.318466983
348.754450297,519.293890025,514.374605266
349.609240616,519.29856957,514.431858148
350.464030935,519.274433181,514.489871951
351.318821255,519.224025771,514.548304038
352.173611574,519.150094413,514.606826615
353.028401893,519.055491171,514.665129889
353.883192213,518.943092341,514.722924665
354.737982532,518.81574987,514.779944641
355.592772852,518.676274407,514.835948627
356.447563171,518.527431977,514.890722556
357.30235349,518.371944952,514.944081016
358.15714381,518.212497515,514.995868363
359.011934129,518.051735368,515.045959534
359.866724448,517.892244567,515.09426048
360.721514768,517.73650907,515.140708097
361.576305087,517.586863017,515.1852698
362.431095406,517.445453393,515.22794304
363.285885726,517.31421296,515.268754876
364.140676045,517.194834128,515.307761425
364.995466364,517.08873808,515.345046909
365.850256684,516.997036241,515.380721985
366.705047003,516.920485539,515.414921191
367.559837322,516.859446158,515.447799504
368.414627642,516.813851239,515.479528173
369.269417961,516.783195552,515.510289907
370.124208281,516.766550089,515.540273661
370.9789986,516.76260771,515.569669478
371.833788919,516.769755287,515.598663955
372.688579239,516.786159433,515.627436703
373.543369558,516.809859209,515.656157983
374.398159877,516.838865865,515.68498757
375.252950197,516.871262771,515.714074748
376.107740516,516.905292429,515.743559124
376.962530835,516.939421015,515.773571869
377.817321155,516.97237845,515.804237136
378.672111474,517.00317613,515.835673433
379.526901793,517.031104922,515.867994725
380.381692113,517.055720777,515.901310978
381.236482432,517.076829063,515.935728136
382.091272752,517.094470434,515.971347666
382.946063071,517.10889994,516.008265797
383.80085339,517.120550096,516.046572405
384.65564371,517.129977656,516.086349442
385.510434029,517.137802102,516.127668916
386.365224348,517.144643244,516.17059056
387.220014668,517.151063349,516.215159321
388.074804987,517.157518645,516.261402808
388.929595306,517.164322118,516.309328707
389.784385626,517.171616243,516.358922029
390.639175945,517.17935337,516.41014213
391.493966264,517.187285384,516.462919563
392.348756584,517.19496661,516.5171528
393.203546903,517.201768416,516.572704875
394.058337222,517.206902599,516.629400071
394.913127542,517.209455407,516.687020908
395.767917861,517.208429113,516.745305697
396.622708181,517.20277949,516.803946898
397.4774985,517.191442767,516.862590698
398.332288819,517.173358375,516.920838343
399.187079139,517.147498378,516.978249721
400.041869458,517.11290651,517.034349298
400.896659777,517.068738861,517.088634156
401.751450097,517.014293806,517.140583585
402.606240416,516.949021382,517.189669522
403.461030735,516.872513654,517.235367288
404.315821055,516.784491684,517.277166223
405.170611374,516.68480171,517.314579891
406.025401693,516.573418011,517.347155411
406.880192013,516.450449122,517.374481606
407.734982332,516.316150368,517.396195913
408.589772652,516.170937286,517.411990215
409.444562971,516.015389482,517.421615714
410.29935329,515.850254108,517.424887004
411.15414361,515.676475741,517.421685742
412.008933929,515.495259915,517.411964252
412.863724248,515.30814189,517.395748952
413.718514568,515.117029875,517.373143094
414.573304887,514.924218221,517.344328411
415.428095206,514.732377002,517.309565416
416.282885526,514.544514748,517.269192141
417.137675845,514.363905231,517.22362101
417.992466164,514.193972075,517.17333361
418.847256484,514.03812767,517.118873105
419.702046803,513.899567701,517.060834011
420.556837122,513.781027302,516.999849025
421.411627442,513.68449034,516.936572605
422.266417761,513.610822036,516.871660726
423.121208081,513.559322039,516.805746151
423.9759984,513.527272485,516.739409403
424.830788719,513.509606332,516.673147025
425.685579039,513.498804623,516.607339886
426.540369358,513.485085343,516.542224839
427.395159677,513.456897371,516.477873186
428.249949997,513.401674862,516.414178732
429.104740316,513.306761124,516.350857023
429.959530635,513.16040291,516.287456201
430.814320955,512.95273188,516.223379188
431.669111274,512.676659876,516.157916141
432.523901593,512.328619734,516.090285362
433.378691913,511.909104352,516.019680408
434.233482232,511.422987252,515.945321128
435.088272552,510.879623787,515.866506355
435.943062871,510.292736657,515.782665822
436.79785319,509.680098389,515.693408868
437.65264351,509.063037053,515.598567766
438.507433829,508.465803666,515.498234082
439.362224148,507.914839901,515.392786977
440.217014468,507.43796702,515.282912618
441.071804787,507.063500825,515.169613943
441.926595106,506.819298053,515.054209942
442.781385426,506.731750963,514.938323732
443.636175745,506.824766565,514.823859031
444.490966064,507.118782488,514.71296515
445.345756384,507.62986519,514.607991098
446.200546703,508.368922306,514.5114298
447.055337022,509.341065978,514.425854013
447.910127342,510.545176099,514.353846161
448.764917661,511.973697717,514.297924688
449.619707981,513.612675411,514.260469661
450.4744983,515.442016999,514.243650403
451.329288619,517.43598275,514.249358009
452.184078939,519.563884498,514.279145435
453.038869258,521.790956981,514.334177399
453.893659577,524.07935211,514.415191734
454.748449897,526.389203282,514.522473143
455.603240216,528.679701315,514.65583949
456.458030535,530.910133226,514.814640212
457.312820855,533.040866348,514.997766263
458.167611174,535.034272734,515.203671121
459.022401493,536.855571439,515.430402084
459.877191813,538.473565584,515.675640744
460.731982132,539.861270181,515.936751399
461.586772451,540.996427629,516.210836046
462.441562771,541.861896888,516.494794416
463.29635309,542.44590585,516.785387333
464.15114341,542.742169164,517.079301734
465.005933729,542.74987845,517.373215816
465.860724048,542.4735665,517.663862725
466.715514368,541.922849067,517.948091259
467.570304687,541.112059979,518.222922196
468.425095006,540.059796566,518.485599139
469.279885326,538.788386378,518.733632828
470.134675645,537.323293639,518.964838167
470.989465964,535.692492684,519.177363606
471.844256284,533.925826896,519.369712849
472.699046603,532.054365221,519.540758905
473.553836922,530.109785932,519.689750716
474.408627242,528.12382569,519.816313005
475.263417561,526.127804616,519.920440198
476.118207881,524.152223729,520.002485369
476.9729982,522.226453839,520.063145513
477.827788519,520.37853329,520.103444589
478.682578839,518.635046916,520.124715339
479.537369158,517.021029585,520.128580027
480.392159477,515.559843914,520.11692975
481.246949797,514.2729931,520.09190152
482.101740116,513.179844061,520.055852022
482.956530435,512.297264817,520.011327051
483.811320755,511.639208396,519.961026119
484.666111074,511.216281471,519.907762066
485.520901393,511.03532549,519.854415511
486.375691713,511.099038523,519.803884231
487.230482032,511.405682046,519.75902837
488.085272351,511.948918179,519.722613293
488.940062671,512.717796314,519.697252122
489.79485299,513.696887157,519.68534994
490.64964331,514.866561891,519.689051631
491.504433629,516.203403774,519.710195293
492.359223948,517.680719012,519.750272844
